[+1.4183842680711e+07, +7.0960134401375e-19]
[+1.4181660358153e+07, +7.1295060735791e-19]
[+1.4179474283128e+07, +7.1630569740650e-19]
[+1.4177284467486e+07, +7.1966659594571e-19]
[+1.4175090923089e+07, +7.2303328474545e-19]
[+1.4172893661808e+07, +7.2640574555952e-19]
[+1.4170692695523e+07, +7.2978396012578e-19]
[+1.4168488036128e+07, +7.3316791016629e-19]
[+1.4166279695522e+07, +7.3655757738754e-19]
[+1.4164067685618e+07, +7.3995294348054e-19]
[+1.4161852018336e+07, +7.4335399012106e-19]
[+1.4159632705607e+07, +7.4676069896976e-19]
[+1.4157409759370e+07, +7.5017305167237e-19]
[+1.4155183191576e+07, +7.5359102985987e-19]
[+1.4152953014183e+07, +7.5701461514863e-19]
[+1.4150719239158e+07, +7.6044378914061e-19]
[+1.4148481878478e+07, +7.6387853342349e-19]
[+1.4146240944130e+07, +7.6731882957088e-19]
[+1.4143996448108e+07, +7.7076465914247e-19]
[+1.4141748402415e+07, +7.7421600368419e-19]
[+1.4139496819063e+07, +7.7767284472837e-19]
[+1.4137241710073e+07, +7.8113516379395e-19]
[+1.4134983087474e+07, +7.8460294238658e-19]
[+1.4132720963302e+07, +7.8807616199885e-19]
[+1.4130455349604e+07, +7.9155480411043e-19]
[+1.4128186258432e+07, +7.9503885018822e-19]
[+1.4125913701848e+07, +7.9852828168653e-19]
[+1.4123637691921e+07, +8.0202308004727e-19]
[+1.4121358240729e+07, +8.0552322670008e-19]
[+1.4119075360356e+07, +8.0902870306249e-19]
[+1.4116789062894e+07, +8.1253949054014e-19]
[+1.4114499360443e+07, +8.1605557052687e-19]
[+1.4112206265109e+07, +8.1957692440495e-19]
[+1.4109909789007e+07, +8.2310353354519e-19]
[+1.4107609944259e+07, +8.2663537930716e-19]
[+1.4105306742993e+07, +8.3017244303929e-19]
[+1.4103000197343e+07, +8.3371470607911e-19]
[+1.4100690319452e+07, +8.3726214975333e-19]
[+1.4098377121468e+07, +8.4081475537806e-19]
[+1.4096060615547e+07, +8.4437250425896e-19]
[+1.4093740813851e+07, +8.4793537769138e-19]
[+1.4091417728547e+07, +8.5150335696058e-19]
[+1.4089091371811e+07, +8.5507642334180e-19]
[+1.4086761755822e+07, +8.5865455810052e-19]
[+1.4084428892767e+07, +8.6223774249255e-19]
[+1.4082092794839e+07, +8.6582595776423e-19]
[+1.4079753474237e+07, +8.6941918515256e-19]
[+1.4077410943164e+07, +8.7301740588539e-19]
[+1.4075065213830e+07, +8.7662060118158e-19]
[+1.4072716298451e+07, +8.8022875225112e-19]
[+1.4070364209248e+07, +8.8384184029535e-19]
[+1.4068008958446e+07, +8.8745984650707e-19]
[+1.4065650558277e+07, +8.9108275207071e-19]
[+1.4063289020978e+07, +8.9471053816251e-19]
[+1.4060924358789e+07, +8.9834318595066e-19]
[+1.4058556583958e+07, +9.0198067659546e-19]
[+1.4056185708736e+07, +9.0562299124948e-19]
[+1.4053811745378e+07, +9.0927011105773e-19]
[+1.4051434706146e+07, +9.1292201715778e-19]
[+1.4049054603304e+07, +9.1657869067997e-19]
[+1.4046671449122e+07, +9.2024011274753e-19]
[+1.4044285255874e+07, +9.2390626447674e-19]
[+1.4041896035837e+07, +9.2757712697709e-19]
[+1.4039503801295e+07, +9.3125268135146e-19]
[+1.4037108564532e+07, +9.3493290869623e-19]
